,item,oldprice,special-price,size01,size02,size03,size04,size05,url
78, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
79, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
80, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
81, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
82, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
83, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
84, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
85, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
86, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
87, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
88, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
89, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
90, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
91, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
92, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
93, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
94, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
95, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
96, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
97, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
98, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
99, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
100, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
101, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
102, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
103, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
104, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
105, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
106, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
107, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
